朝阳-十里堡 / 54㎡ /南 / 1室0厅1卫 / 6700 
东城-崇文门 / 43㎡ /东 / 1室0厅1卫 / 7200 
西城-德胜门 / 58㎡ /南 / 2室1厅1卫 / 7500 
海淀-牡丹园 / 43㎡ /南 / 1室1厅1卫 / 5800 
通州-通州北苑 / 143㎡ /南 西南 / 3室2厅1卫 / 8000 
朝阳-石佛营 / 46㎡ /南 / 1室0厅1卫 / 5600
海淀-定慧寺 / 39㎡ /南 / 1室0厅1卫 / 5300 
东城-崇文门 / 204㎡ /南 北 / 4室2厅3卫 / 26000 
朝阳-奥林匹克公园 / 50㎡ /北 / 1室0厅1卫 / 6000 
朝阳-工体 / 61㎡ /西 / 1室0厅1卫 / 12500
朝阳-双井 / 64㎡ /东 / 1室0厅1卫 / 7700
西城-月坛 / 39㎡ /东 / 1室1厅1卫 / 6600
西城-广安门 / 38㎡ /南 / 1室1厅2卫 / 5600
朝阳-潘家园 / 53㎡ /东 / 2室1厅1卫 / 5500
朝阳-朝阳公园 / 162㎡ /北 / 1室0厅1卫 / 8000
朝阳-三元桥 / 35㎡ /南 / 1室1厅1卫 / 5400
丰台-看丹桥 / 57㎡ /南 北 / 2室1厅1卫 / 4200
海淀-公主坟 / 64㎡ /南 北 / 2室1厅1卫 / 6500
丰台-玉泉营 / 50㎡ /南 / 2室1厅1卫 / 4500 
朝阳-燕莎 / 51㎡ /北 / 1室0厅1卫 / 9000
朝阳-望京 / 66㎡ /东南 / 1室1厅1卫 / 7000
东城-左安门 / 74㎡ /西南 东北 / 2室1厅1卫 / 7500
东城-广渠门 / 70㎡ /南 / 2室1厅1卫 / 6800
朝阳-潘家园 / 42㎡ /南 / 1室1厅1卫 / 5600
海淀-五棵松 / 57㎡ /南 北 / 2室1厅1卫 / 7300
东城-和平里 / 51㎡ /南 / 2室1厅1卫 / 8000
海淀-紫竹桥 / 41㎡ /南 / 1室1厅1卫 / 5500
昌平-回龙观 / 104㎡ /南 北 / 2室1厅1卫 / 7300
朝阳-和平里 / 65㎡ /东南 / 1室2厅1卫 / 7300
